Timestamp_Epoch_ms,ECG_mV,HR_BPM
1780607918916,0.538,83
1780607918923,1.514,83
1780607918931,2.059,83
1780607918939,2.078,83
1780607918947,2.205,83
1780607918954,2.37,83
1780607918962,2.377,83
1780607918970,2.386,83
1780607918977,2.409,83
1780607918985,2.361,83
1780607918993,2.298,83
1780607919000,2.263,83
1780607919008,2.226,83
1780607919016,2.177,83
1780607919023,2.087,83
1780607919031,1.976,83
1780607919039,1.887,83
1780607919047,1.802,83
1780607919054,1.716,83
1780607919062,1.642,83
1780607919070,1.537,83
1780607919077,1.414,83
1780607919085,1.326,83
1780607919093,1.252,83
1780607919100,1.161,83
1780607919108,1.085,83
1780607919116,1.011,83
1780607919123,0.911,83
1780607919131,0.821,83
1780607919139,0.749,83
1780607919147,0.67,83
1780607919154,0.586,83
1780607919162,0.507,83
1780607919170,0.424,83
1780607919177,0.343,83
1780607919185,0.276,83
1780607919193,0.201,83
1780607919200,0.122,83
1780607919208,0.046,83
1780607919216,-0.039,83
1780607919223,-0.122,83
1780607919231,-0.192,83
1780607919239,-0.25,83
1780607919247,-0.313,83
1780607919254,-0.398,83
1780607919262,-0.48,83
1780607919270,-0.517,83
1780607919277,-0.549,83
1780607919285,-0.623,83
1780607919293,-0.7,83
1780607919300,-0.77,83
1780607919308,-0.841,83
1780607919316,-0.902,83
1780607919323,-0.957,83
1780607919331,-1.027,83
1780607919339,-1.09,83
1780607919347,-1.157,83
1780607919354,-1.25,83
1780607919362,-1.312,83
1780607919370,-1.319,83
1780607919377,-1.352,83
1780607919385,-1.4,83
1780607919393,-1.366,83
1780607919400,-1.213,83
1780607919408,-1.029,83
1780607919416,-1.071,83
1780607919423,-1.498,83
1780607919431,-1.927,83
1780607919439,-1.945,83
1780607919447,-1.846,83
1780607919454,-1.906,83
1780607919462,-1.918,83
1780607919470,-1.871,83
1780607919598,-1.915,84
1780607919606,-1.966,84
1780607919614,-1.978,84
1780607919621,-2.01,84
1780607919629,-2.041,84
1780607919637,-2.052,84
1780607919644,-2.078,84
1780607919652,-2.117,84
1780607919660,-2.15,84
1780607919668,-2.18,84
1780607919675,-2.21,84
1780607919683,-2.217,84
1780607919691,-2.221,84
1780607919698,-2.247,84
1780607919706,-2.265,84
1780607919714,-2.298,84
1780607919721,-2.354,84
1780607919729,-2.347,84
1780607919737,-2.303,84
1780607919744,-2.33,84
1780607919752,-2.375,84
1780607919760,-2.381,84
1780607919768,-2.442,84
1780607919775,-2.5,84
1780607919783,-2.467,84
1780607919791,-2.474,84
1780607919798,-2.546,84
1780607919806,-2.558,84
1780607919814,-2.56,84
1780607919821,-2.602,84
1780607919829,-2.588,84
1780607919837,-2.56,84
1780607919844,-2.597,84
1780607919852,-2.639,84
1780607919860,-2.648,84
1780607919868,-2.646,84
1780607919875,-2.604,84
1780607919883,-2.546,84
1780607919891,-2.537,84
1780607919898,-2.53,84
1780607919906,-2.507,84
1780607919914,-2.521,84
1780607919921,-2.539,84
1780607919929,-2.514,84
1780607919937,-2.495,84
1780607919944,-2.49,84
1780607919952,-2.486,84
1780607919960,-2.528,84
1780607919968,-2.579,84
1780607919975,-2.541,84
1780607919983,-2.481,84
1780607919991,-2.472,84
1780607919998,-2.451,84
1780607920006,-2.442,84
1780607920014,-2.488,84
1780607920021,-2.477,84
1780607920029,-2.405,84
1780607920037,-2.386,84
1780607920044,-2.391,84
1780607920052,-2.368,84
1780607920060,-2.365,84
1780607920068,-2.37,84
1780607920075,-2.347,84
1780607920083,-2.323,84
1780607920091,-2.321,84
1780607920098,-2.314,84
1780607920106,-2.303,84
1780607920114,-2.208,84
1780607920121,-1.89,84
1780607920129,-1.565,84
1780607920137,-1.658,84
1780607920144,-2.163,84
1780607920152,-2.518,84
1780607920280,-2.435,84
1780607920287,-2.291,84
1780607920295,-2.27,84
1780607920303,-2.221,84
1780607920311,-2.184,84
1780607920318,-2.201,84
1780607920326,-2.242,84
1780607920334,-2.238,84
1780607920341,-2.156,84
1780607920349,-2.105,84
1780607920357,-2.112,84
1780607920364,-2.094,84
1780607920372,-2.103,84
1780607920380,-2.126,84
1780607920387,-2.066,84
1780607920395,-1.999,84
1780607920403,-1.989,84
1780607920411,-1.973,84
1780607920418,-1.962,84
1780607920426,-1.976,84
1780607920434,-1.943,84
1780607920441,-1.878,84
1780607920449,-1.864,84
1780607920457,-1.867,84
1780607920464,-1.874,84
1780607920472,-1.904,84
1780607920480,-1.899,84
1780607920487,-1.843,84
1780607920495,-1.771,84
1780607920503,-1.704,84
1780607920511,-1.688,84
1780607920518,-1.72,84
1780607920526,-1.795,84
1780607920534,-1.878,84
1780607920541,-1.883,84
1780607920549,-1.855,84
1780607920557,-1.869,84
1780607920564,-1.897,84
1780607920572,-1.913,84
1780607920580,-1.901,84
1780607920587,-1.862,84
1780607920595,-1.829,84
1780607920603,-1.816,84
1780607920611,-1.813,84
1780607920618,-1.825,84
1780607920626,-1.82,84
1780607920634,-1.76,84
1780607920641,-1.72,84
1780607920649,-1.727,84
1780607920657,-1.716,84
1780607920664,-1.713,84
1780607920672,-1.732,84
1780607920680,-1.7,84
1780607920687,-1.644,84
1780607920695,-1.635,84
1780607920703,-1.632,84
1780607920711,-1.616,84
1780607920718,-1.618,84
1780607920726,-1.604,84
1780607920734,-1.563,84
1780607920741,-1.558,84
1780607920749,-1.57,84
1780607920757,-1.567,84
1780607920764,-1.598,84
1780607920772,-1.623,84
1780607920780,-1.577,84
1780607920787,-1.519,84
1780607920795,-1.507,84
1780607920803,-1.493,84
1780607920811,-1.489,84
1780607920818,-1.5,84
1780607920826,-1.449,84
1780607920834,-1.342,84
1780607920818,-1.161,84
1780607920825,-0.876,84
1780607920833,-0.728,84
1780607920841,-1.022,84
1780607920849,-1.505,84
1780607920856,-1.609,84
1780607920864,-1.412,84
1780607920872,-1.322,84
1780607920879,-1.319,84
1780607920887,-1.31,84
1780607920895,-1.31,84
1780607920902,-1.28,84
1780607920910,-1.236,84
1780607920918,-1.217,84
1780607920925,-1.201,84
1780607920933,-1.206,84
1780607920941,-1.224,84
1780607920949,-1.21,84
1780607920956,-1.18,84
1780607920964,-1.148,84
1780607920972,-1.12,84
1780607920979,-1.108,84
1780607920987,-1.099,84
1780607920995,-1.087,84
1780607921002,-1.073,84
1780607921010,-1.046,84
1780607921018,-1.015,84
1780607921025,-1.006,84
1780607921033,-1.025,84
1780607921041,-1.036,84
1780607921049,-1.008,84
1780607921056,-0.985,84
1780607921064,-0.988,84
1780607921072,-0.994,84
1780607921079,-1.022,84
1780607921087,-1.066,84
1780607921095,-1.062,84
1780607921102,-1.036,84
1780607921110,-1.043,84
1780607921118,-1.046,84
1780607921125,-1.046,84
1780607921133,-1.069,84
1780607921141,-1.062,84
1780607921149,-1.018,84
1780607921156,-1.004,84
