Timestamp_Epoch_ms,X_mg,Y_mg,Z_mg
1780608022322,-574.0,162.0,780.0
1780608022327,-578.0,160.0,780.0
1780608022332,-575.0,162.0,781.0
1780608022337,-578.0,164.0,781.0
1780608022342,-580.0,161.0,784.0
1780608022347,-575.0,162.0,784.0
1780608022352,-576.0,159.0,778.0
1780608022357,-582.0,160.0,775.0
1780608022362,-583.0,163.0,773.0
1780608022367,-583.0,165.0,769.0
1780608022372,-576.0,158.0,772.0
1780608022377,-570.0,162.0,775.0
1780608022382,-566.0,161.0,776.0
1780608022387,-567.0,162.0,780.0
1780608022392,-571.0,160.0,785.0
1780608022397,-568.0,164.0,781.0
1780608022402,-572.0,164.0,780.0
1780608022407,-580.0,166.0,782.0
1780608022412,-580.0,166.0,779.0
1780608022417,-581.0,165.0,785.0
1780608022422,-585.0,166.0,784.0
1780608022427,-588.0,163.0,785.0
1780608022432,-586.0,162.0,784.0
1780608022437,-582.0,161.0,780.0
1780608022442,-579.0,164.0,779.0
1780608022447,-575.0,166.0,773.0
1780608022452,-572.0,164.0,774.0
1780608022457,-571.0,164.0,772.0
1780608022462,-566.0,161.0,774.0
1780608022467,-569.0,163.0,774.0
1780608022472,-569.0,164.0,777.0
1780608022477,-571.0,162.0,777.0
1780608022482,-573.0,162.0,781.0
1780608022487,-575.0,156.0,788.0
1780608022492,-579.0,162.0,786.0
1780608022497,-582.0,162.0,789.0
1780608022326,-576.0,166.0,792.0
1780608022331,-584.0,165.0,790.0
1780608022336,-581.0,166.0,788.0
1780608022341,-581.0,168.0,787.0
1780608022346,-576.0,167.0,786.0
1780608022351,-578.0,165.0,787.0
1780608022356,-577.0,165.0,780.0
1780608022361,-576.0,166.0,780.0
1780608022366,-575.0,166.0,776.0
1780608022371,-574.0,167.0,777.0
1780608022376,-575.0,166.0,778.0
1780608022381,-574.0,161.0,780.0
1780608022386,-573.0,164.0,777.0
1780608022391,-571.0,166.0,776.0
1780608022396,-569.0,167.0,780.0
1780608022401,-569.0,164.0,776.0
1780608022406,-568.0,165.0,778.0
1780608022411,-565.0,165.0,778.0
1780608022416,-571.0,164.0,777.0
1780608022421,-570.0,165.0,777.0
1780608022426,-573.0,162.0,775.0
1780608022431,-574.0,162.0,777.0
1780608022436,-571.0,166.0,777.0
1780608022441,-568.0,165.0,779.0
1780608022446,-568.0,165.0,779.0
1780608022451,-572.0,166.0,779.0
1780608022456,-569.0,169.0,785.0
1780608022461,-572.0,166.0,777.0
1780608022466,-576.0,167.0,777.0
1780608022471,-570.0,163.0,777.0
1780608022476,-574.0,166.0,779.0
1780608022481,-573.0,166.0,779.0
1780608022486,-578.0,163.0,783.0
1780608022491,-576.0,163.0,786.0
1780608022496,-578.0,160.0,784.0
1780608022501,-581.0,163.0,781.0
1780608022503,-579.0,161.0,781.0
1780608022508,-578.0,161.0,773.0
1780608022513,-571.0,159.0,775.0
1780608022518,-570.0,153.0,780.0
1780608022523,-574.0,161.0,778.0
1780608022528,-575.0,161.0,781.0
1780608022533,-573.0,158.0,780.0
1780608022538,-572.0,162.0,782.0
1780608022543,-576.0,162.0,785.0
1780608022548,-575.0,165.0,780.0
1780608022553,-573.0,165.0,781.0
1780608022558,-574.0,163.0,782.0
1780608022563,-574.0,164.0,783.0
