Timestamp_Epoch_ms,PPI_ms,HR_BPM
1780608021466,678,89
1780608022503,703,88
1780608022503,698,88
1780608023446,706,88
1780608024438,688,88
1780608025470,690,87
1780608025470,705,87
1780608025470,736,87
1780608026460,391,87
1780608027450,333,86
1780608028439,739,86
1780608028439,766,86
1780608029519,757,85
1780608030509,764,84
1780608031456,755,82
1780608031456,756,82
1780608032444,750,82
1780608033433,742,81
1780608033433,738,81
1780608034468,718,81
1780608035457,714,81
1780608036447,722,82
1780608037482,740,82
1780608037482,761,82
1780608038472,807,82
1780608039462,838,81
1780608040496,846,79
1780608040496,798,79
1780608041441,681,79
1780608042431,847,79
1780608043466,755,79
1780608044455,796,79
1780608044455,806,79
1780608045448,803,78
