Timestamp_Epoch_ms,X_mg,Y_mg,Z_mg
1780607918372,-839.0,81.0,622.0
1780607918377,-843.0,84.0,614.0
1780607918382,-835.0,82.0,603.0
1780607918387,-824.0,78.0,590.0
1780607918392,-817.0,76.0,578.0
1780607918397,-797.0,66.0,568.0
1780607918402,-788.0,57.0,563.0
1780607918407,-779.0,43.0,562.0
1780607918412,-768.0,33.0,567.0
1780607918417,-761.0,26.0,569.0
1780607918422,-758.0,21.0,570.0
1780607918427,-754.0,16.0,577.0
1780607918432,-752.0,12.0,582.0
1780607918437,-749.0,10.0,596.0
1780607918442,-750.0,9.0,605.0
1780607918447,-749.0,10.0,609.0
1780607918452,-748.0,15.0,616.0
1780607918457,-749.0,19.0,620.0
1780607918462,-747.0,23.0,627.0
1780607918467,-747.0,30.0,635.0
1780607918472,-747.0,38.0,638.0
1780607918477,-746.0,49.0,639.0
1780607918482,-746.0,59.0,644.0
1780607918487,-746.0,72.0,641.0
1780607918492,-746.0,74.0,637.0
1780607918497,-745.0,79.0,630.0
1780607918502,-747.0,84.0,624.0
1780607918507,-748.0,79.0,619.0
1780607918512,-749.0,83.0,611.0
1780607918517,-753.0,80.0,600.0
1780607918522,-762.0,78.0,581.0
1780607918527,-773.0,76.0,568.0
1780607918532,-779.0,71.0,556.0
1780607918537,-788.0,67.0,551.0
1780607918542,-790.0,65.0,540.0
1780607918547,-794.0,59.0,531.0
1780607918519,-802.0,53.0,531.0
1780607918524,-802.0,51.0,531.0
1780607918529,-804.0,51.0,531.0
1780607918534,-804.0,44.0,538.0
1780607918539,-799.0,45.0,540.0
1780607918544,-798.0,41.0,547.0
1780607918549,-790.0,41.0,552.0
1780607918554,-786.0,46.0,557.0
1780607918559,-771.0,49.0,567.0
1780607918564,-756.0,50.0,576.0
1780607918569,-747.0,57.0,583.0
1780607918574,-742.0,59.0,595.0
1780607918579,-735.0,68.0,608.0
1780607918584,-725.0,77.0,618.0
1780607918589,-715.0,84.0,625.0
1780607918594,-710.0,85.0,637.0
1780607918599,-711.0,85.0,664.0
1780607918604,-717.0,86.0,681.0
1780607918609,-722.0,86.0,689.0
1780607918614,-732.0,84.0,698.0
1780607918619,-738.0,87.0,708.0
1780607918624,-744.0,84.0,712.0
1780607918629,-749.0,83.0,720.0
1780607918634,-758.0,83.0,725.0
1780607918639,-771.0,81.0,731.0
1780607918644,-782.0,77.0,726.0
1780607918649,-789.0,71.0,720.0
1780607918654,-795.0,62.0,720.0
1780607918659,-805.0,54.0,712.0
1780607918664,-822.0,52.0,708.0
1780607918669,-833.0,41.0,702.0
1780607918674,-839.0,34.0,699.0
1780607918679,-843.0,28.0,689.0
1780607918684,-850.0,32.0,681.0
1780607918689,-845.0,32.0,675.0
1780607918694,-840.0,33.0,666.0
1780607918713,-835.0,35.0,657.0
1780607918718,-841.0,37.0,649.0
1780607918723,-840.0,53.0,639.0
1780607918728,-823.0,60.0,636.0
1780607918733,-809.0,68.0,632.0
1780607918738,-799.0,72.0,630.0
1780607918743,-791.0,77.0,628.0
1780607918748,-789.0,81.0,626.0
1780607918753,-786.0,82.0,623.0
1780607918758,-782.0,83.0,621.0
1780607918763,-777.0,83.0,616.0
1780607918768,-772.0,80.0,615.0
1780607918773,-761.0,83.0,610.0
1780607918778,-753.0,80.0,603.0
1780607918783,-748.0,77.0,598.0
1780607918788,-748.0,76.0,587.0
1780607918793,-744.0,72.0,582.0
1780607918798,-740.0,66.0,572.0
1780607918803,-737.0,62.0,568.0
1780607918808,-731.0,53.0,566.0
1780607918813,-729.0,45.0,566.0
1780607918818,-728.0,40.0,561.0
1780607918823,-726.0,34.0,564.0
1780607918828,-726.0,29.0,564.0
1780607918833,-727.0,24.0,563.0
1780607918838,-726.0,22.0,563.0
1780607918843,-732.0,25.0,562.0
1780607918848,-732.0,24.0,562.0
1780607918853,-737.0,22.0,564.0
1780607918858,-739.0,22.0,569.0
1780607918863,-742.0,22.0,567.0
1780607918868,-745.0,21.0,578.0
1780607918873,-751.0,26.0,571.0
1780607918878,-758.0,35.0,571.0
1780607918883,-767.0,43.0,575.0
1780607918888,-772.0,54.0,574.0
1780607918860,-778.0,64.0,580.0
1780607918865,-783.0,74.0,579.0
1780607918870,-788.0,80.0,590.0
1780607918875,-788.0,86.0,598.0
1780607918880,-791.0,88.0,606.0
1780607918885,-789.0,89.0,614.0
1780607918890,-791.0,93.0,618.0
1780607918895,-790.0,99.0,622.0
1780607918900,-793.0,106.0,628.0
1780607918905,-790.0,110.0,633.0
1780607918910,-794.0,113.0,643.0
1780607918915,-800.0,117.0,656.0
1780607918920,-802.0,123.0,662.0
1780607918925,-809.0,127.0,667.0
1780607918930,-813.0,134.0,679.0
1780607918935,-829.0,126.0,681.0
1780607918940,-842.0,135.0,679.0
1780607918945,-841.0,127.0,676.0
1780607918950,-846.0,128.0,673.0
1780607918955,-844.0,124.0,675.0
1780607918960,-846.0,117.0,676.0
1780607918965,-849.0,113.0,678.0
1780607918970,-846.0,110.0,677.0
1780607918975,-844.0,100.0,669.0
1780607918980,-843.0,99.0,660.0
1780607918985,-844.0,90.0,658.0
1780607918990,-835.0,87.0,646.0
1780607918995,-821.0,85.0,635.0
1780607919000,-809.0,83.0,625.0
1780607919005,-803.0,76.0,616.0
1780607919010,-795.0,73.0,606.0
1780607919015,-787.0,67.0,591.0
1780607919020,-783.0,60.0,572.0
1780607919025,-773.0,57.0,560.0
1780607919030,-769.0,50.0,554.0
1780607919035,-761.0,45.0,547.0
1780607919103,-758.0,47.0,539.0
1780607919108,-753.0,48.0,531.0
1780607919113,-753.0,41.0,532.0
1780607919118,-756.0,49.0,525.0
1780607919123,-758.0,51.0,525.0
1780607919128,-765.0,55.0,528.0
1780607919133,-772.0,64.0,526.0
1780607919138,-780.0,72.0,535.0
1780607919143,-783.0,76.0,539.0
1780607919148,-788.0,73.0,552.0
1780607919153,-794.0,80.0,555.0
1780607919158,-801.0,82.0,559.0
1780607919163,-809.0,84.0,567.0
1780607919168,-822.0,85.0,572.0
1780607919173,-833.0,86.0,581.0
1780607919178,-839.0,87.0,586.0
1780607919183,-847.0,87.0,590.0
1780607919188,-853.0,88.0,593.0
1780607919193,-857.0,84.0,598.0
1780607919198,-859.0,86.0,599.0
1780607919203,-860.0,86.0,595.0
1780607919208,-861.0,86.0,594.0
1780607919213,-861.0,83.0,588.0
1780607919218,-864.0,82.0,583.0
1780607919223,-859.0,79.0,585.0
1780607919228,-861.0,78.0,582.0
1780607919233,-858.0,78.0,576.0
1780607919238,-858.0,74.0,569.0
1780607919243,-855.0,72.0,566.0
1780607919248,-852.0,69.0,563.0
1780607919253,-848.0,72.0,559.0
1780607919258,-849.0,75.0,556.0
1780607919263,-845.0,75.0,555.0
1780607919268,-839.0,78.0,551.0
1780607919273,-831.0,79.0,553.0
1780607919278,-824.0,81.0,558.0
1780607919444,-814.0,78.0,562.0
1780607919449,-810.0,80.0,565.0
1780607919454,-798.0,81.0,581.0
1780607919459,-795.0,79.0,591.0
1780607919464,-788.0,82.0,601.0
1780607919469,-788.0,84.0,609.0
1780607919474,-785.0,85.0,617.0
1780607919479,-785.0,83.0,619.0
1780607919484,-785.0,86.0,624.0
1780607919489,-787.0,85.0,628.0
1780607919494,-788.0,85.0,635.0
1780607919499,-792.0,86.0,638.0
1780607919504,-796.0,87.0,643.0
1780607919509,-802.0,87.0,646.0
1780607919514,-809.0,88.0,645.0
1780607919519,-816.0,91.0,644.0
1780607919524,-818.0,93.0,636.0
1780607919529,-818.0,95.0,633.0
1780607919534,-819.0,96.0,628.0
1780607919539,-819.0,93.0,625.0
1780607919544,-818.0,91.0,626.0
1780607919549,-815.0,89.0,627.0
1780607919554,-802.0,86.0,626.0
1780607919559,-794.0,86.0,626.0
1780607919564,-789.0,83.0,625.0
1780607919569,-786.0,81.0,624.0
1780607919574,-784.0,76.0,622.0
1780607919579,-787.0,73.0,623.0
1780607919584,-787.0,73.0,619.0
1780607919589,-790.0,69.0,620.0
1780607919594,-790.0,59.0,616.0
1780607919599,-793.0,57.0,614.0
1780607919604,-794.0,55.0,611.0
1780607919609,-795.0,49.0,604.0
1780607919614,-793.0,48.0,594.0
1780607919619,-792.0,46.0,592.0
1780607919591,-792.0,42.0,589.0
1780607919596,-788.0,41.0,587.0
1780607919601,-788.0,42.0,584.0
1780607919606,-786.0,38.0,584.0
1780607919611,-784.0,34.0,593.0
1780607919616,-786.0,34.0,592.0
1780607919621,-785.0,33.0,598.0
1780607919626,-786.0,28.0,595.0
1780607919631,-788.0,28.0,598.0
1780607919636,-795.0,31.0,590.0
1780607919641,-799.0,33.0,588.0
1780607919646,-805.0,37.0,581.0
1780607919651,-811.0,40.0,575.0
1780607919656,-816.0,43.0,567.0
1780607919661,-819.0,47.0,561.0
1780607919666,-822.0,48.0,553.0
1780607919671,-822.0,52.0,550.0
1780607919676,-823.0,56.0,543.0
1780607919681,-822.0,63.0,537.0
1780607919686,-827.0,71.0,531.0
1780607919691,-820.0,77.0,527.0
1780607919696,-825.0,81.0,521.0
1780607919701,-826.0,84.0,527.0
1780607919706,-829.0,86.0,523.0
1780607919711,-828.0,86.0,525.0
1780607919716,-834.0,89.0,525.0
1780607919721,-840.0,89.0,523.0
1780607919726,-844.0,89.0,526.0
1780607919731,-846.0,92.0,527.0
1780607919736,-854.0,89.0,528.0
1780607919741,-854.0,89.0,531.0
1780607919746,-857.0,89.0,533.0
1780607919751,-858.0,85.0,541.0
1780607919756,-862.0,83.0,541.0
1780607919761,-858.0,76.0,547.0
1780607919766,-856.0,67.0,552.0
1780607919882,-846.0,63.0,556.0
1780607919887,-847.0,51.0,561.0
1780607919892,-843.0,45.0,560.0
1780607919897,-842.0,36.0,563.0
1780607919902,-840.0,32.0,559.0
1780607919907,-839.0,26.0,556.0
1780607919912,-837.0,25.0,557.0
1780607919917,-834.0,24.0,560.0
1780607919922,-830.0,26.0,562.0
1780607919927,-827.0,25.0,562.0
1780607919932,-827.0,26.0,560.0
1780607919937,-823.0,28.0,559.0
1780607919942,-822.0,29.0,560.0
1780607919947,-821.0,31.0,558.0
1780607919952,-821.0,34.0,558.0
1780607919957,-825.0,41.0,552.0
1780607919962,-822.0,44.0,551.0
1780607919967,-825.0,42.0,552.0
1780607919972,-828.0,47.0,550.0
1780607919977,-820.0,47.0,547.0
1780607919982,-826.0,53.0,549.0
1780607919987,-824.0,47.0,550.0
1780607919992,-825.0,54.0,551.0
1780607919997,-826.0,57.0,550.0
