Timestamp_Epoch_ms,ECG_mV,HR_BPM
1780608022485,1.284,88
1780608022492,2.191,88
1780608022500,2.354,88
1780608022508,2.426,88
1780608022515,2.711,88
1780608022523,2.852,88
1780608022531,2.885,88
1780608022538,2.964,88
1780608022546,3.054,88
1780608022554,3.119,88
1780608022561,3.191,88
1780608022569,3.316,88
1780608022577,3.381,88
1780608022585,3.293,88
1780608022592,3.284,88
1780608022600,3.379,88
1780608022608,3.397,88
1780608022615,3.397,88
1780608022623,3.432,88
1780608022631,3.444,88
1780608022638,3.465,88
1780608022646,3.502,88
1780608022654,3.53,88
1780608022661,3.532,88
1780608022669,3.509,88
1780608022677,3.502,88
1780608022685,3.523,88
1780608022692,3.525,88
1780608022700,3.525,88
1780608022708,3.536,88
1780608022715,3.532,88
1780608022723,3.532,88
1780608022731,3.56,88
1780608022738,3.562,88
1780608022746,3.574,88
1780608022754,3.594,88
1780608022761,3.502,88
1780608022769,3.409,88
1780608022777,3.432,88
1780608022785,3.441,88
1780608022792,3.404,88
1780608022800,3.39,88
1780608022808,3.372,88
1780608022815,3.342,88
1780608022823,3.337,88
1780608022831,3.353,88
1780608022838,3.448,88
1780608022846,3.687,88
1780608022854,3.935,88
1780608022861,3.901,88
1780608022869,3.479,88
1780608022877,3.036,88
1780608022885,2.998,88
1780608022892,3.142,88
1780608022900,3.135,88
1780608022908,3.07,88
1780608022915,3.049,88
1780608022923,3.049,88
1780608022931,3.056,88
1780608022938,3.005,88
1780608022946,2.92,88
1780608022954,2.906,88
1780608022961,2.92,88
1780608022969,2.896,88
1780608022977,2.869,88
1780608022985,2.843,88
1780608022992,2.817,88
1780608023000,2.815,88
1780608023008,2.813,88
1780608023015,2.783,88
1780608023023,2.78,88
1780608023031,2.834,88
1780608023038,2.866,88
1780608023066,2.841,88
1780608023074,2.806,88
1780608023082,2.748,88
1780608023089,2.683,88
1780608023097,2.683,88
1780608023105,2.678,88
1780608023112,2.609,88
1780608023120,2.551,88
1780608023128,2.546,88
1780608023136,2.47,88
1780608023143,2.275,88
1780608023151,2.173,88
1780608023159,2.189,88
1780608023166,2.17,88
1780608023174,2.119,88
1780608023182,2.078,88
1780608023189,2.052,88
1780608023197,2.041,88
1780608023205,2.015,88
1780608023212,1.999,88
1780608023220,1.985,88
1780608023228,1.941,88
1780608023236,1.908,88
1780608023243,1.901,88
1780608023251,1.883,88
1780608023259,1.864,88
1780608023266,1.853,88
1780608023274,1.829,88
1780608023282,1.799,88
1780608023289,1.776,88
1780608023297,1.762,88
1780608023305,1.767,88
1780608023312,1.76,88
1780608023320,1.695,88
1780608023328,1.639,88
1780608023336,1.639,88
1780608023343,1.635,88
1780608023351,1.614,88
1780608023359,1.593,88
1780608023366,1.565,88
1780608023374,1.542,88
1780608023382,1.533,88
1780608023389,1.528,88
1780608023397,1.526,88
1780608023405,1.5,88
1780608023412,1.451,88
1780608023420,1.428,88
1780608023428,1.419,88
1780608023436,1.403,88
1780608023443,1.405,88
1780608023451,1.41,88
1780608023459,1.386,88
1780608023466,1.361,88
1780608023474,1.352,88
1780608023482,1.345,88
1780608023489,1.328,88
1780608023497,1.289,88
1780608023505,1.238,88
1780608023512,1.226,88
1780608023520,1.233,88
1780608023528,1.219,88
1780608023536,1.206,88
1780608023543,1.189,88
1780608023551,1.173,88
1780608023559,1.199,88
1780608023566,1.345,88
1780608023574,1.607,88
1780608023582,1.785,88
1780608023589,1.598,88
1780608023597,1.131,88
1780608023605,0.89,88
1780608023612,0.994,88
1780608023620,1.085,88
1780608023607,1.048,88
1780608023614,1.018,88
1780608023622,1.02,88
1780608023630,1.013,88
1780608023637,1.006,88
1780608023645,1.004,88
1780608023653,0.988,88
1780608023660,0.955,88
1780608023668,0.939,88
1780608023676,0.943,88
1780608023684,0.946,88
1780608023691,0.953,88
1780608023699,0.943,88
1780608023707,0.911,88
1780608023714,0.897,88
1780608023722,0.906,88
1780608023730,0.904,88
1780608023737,0.904,88
1780608023745,0.906,88
1780608023753,0.899,88
1780608023760,0.89,88
1780608023768,0.888,88
1780608023776,0.883,88
1780608023784,0.872,88
1780608023791,0.837,88
1780608023799,0.788,88
1780608023807,0.76,88
1780608023814,0.746,88
1780608023822,0.721,88
1780608023830,0.688,88
1780608023837,0.661,88
1780608023845,0.647,88
1780608023853,0.64,88
1780608023860,0.633,88
1780608023868,0.63,88
1780608023876,0.635,88
1780608023884,0.621,88
1780608023891,0.589,88
1780608023899,0.577,88
1780608023907,0.584,88
1780608023914,0.579,88
1780608023922,0.57,88
1780608023930,0.568,88
1780608023937,0.563,88
1780608023945,0.556,88
1780608023953,0.556,88
1780608023960,0.554,88
1780608023968,0.538,88
1780608023976,0.519,88
1780608023984,0.512,88
1780608023991,0.512,88
1780608023999,0.512,88
1780608024007,0.507,88
1780608024014,0.498,88
1780608024022,0.491,88
1780608024030,0.484,88
1780608024037,0.475,88
1780608024045,0.473,88
1780608024053,0.482,88
1780608024060,0.477,88
1780608024068,0.466,88
1780608024076,0.461,88
1780608024084,0.466,88
1780608024091,0.466,88
1780608024099,0.456,88
1780608024107,0.445,88
1780608024114,0.442,88
1780608024122,0.445,88
1780608024130,0.438,88
1780608024137,0.424,88
1780608024145,0.415,88
1780608024153,0.408,88
1780608024160,0.412,88
1780608024147,0.422,88
1780608024154,0.419,88
1780608024162,0.412,88
1780608024170,0.405,88
1780608024178,0.398,88
1780608024185,0.378,88
1780608024193,0.361,88
1780608024201,0.368,88
1780608024208,0.375,88
1780608024216,0.352,88
1780608024224,0.329,88
1780608024231,0.333,88
1780608024239,0.331,88
1780608024247,0.336,88
1780608024254,0.415,88
1780608024262,0.609,88
1780608024270,0.876,88
1780608024278,0.976,88
1780608024285,0.656,88
1780608024293,0.18,88
1780608024301,0.083,88
1780608024308,0.245,88
1780608024316,0.289,88
1780608024324,0.264,88
1780608024331,0.28,88
1780608024339,0.285,88
1780608024347,0.276,88
1780608024354,0.278,88
1780608024362,0.28,88
1780608024370,0.276,88
1780608024378,0.271,88
1780608024385,0.271,88
1780608024393,0.276,88
1780608024401,0.282,88
1780608024408,0.285,88
1780608024416,0.292,88
1780608024424,0.303,88
1780608024431,0.308,88
1780608024439,0.306,88
1780608024447,0.315,88
1780608024454,0.333,88
1780608024462,0.34,88
1780608024470,0.338,88
1780608024478,0.338,88
1780608024485,0.329,88
1780608024493,0.303,88
1780608024501,0.294,88
1780608024508,0.289,88
1780608024516,0.271,88
1780608024524,0.382,88
1780608024531,0.712,88
1780608024539,0.76,88
1780608024547,0.507,88
1780608024554,0.57,88
1780608024562,0.531,88
1780608024570,0.169,88
1780608024578,0.111,88
1780608024585,0.211,88
1780608024593,0.134,88
1780608024601,0.09,88
1780608024608,0.132,88
1780608024616,0.125,88
1780608024624,0.099,88
1780608024631,0.113,88
1780608024639,0.118,88
1780608024647,0.111,88
1780608024654,0.218,88
1780608024662,0.593,88
1780608024670,0.825,88
1780608024678,0.447,88
1780608024685,0.097,88
1780608024693,0.169,88
1780608024701,0.178,88
1780608024821,0.076,88
1780608024829,0.09,88
1780608024836,0.111,88
1780608024844,0.078,88
1780608024852,0.071,88
1780608024859,0.083,88
1780608024867,0.067,88
1780608024875,0.055,88
1780608024882,0.062,88
1780608024890,0.064,88
1780608024898,0.055,88
1780608024905,0.062,88
1780608024913,0.067,88
1780608024921,0.067,88
1780608024929,0.076,88
1780608024936,0.081,88
1780608024944,0.067,88
1780608024952,0.062,88
1780608024959,0.071,88
1780608024967,0.076,88
1780608024975,0.088,88
1780608024982,0.106,88
1780608024990,0.099,88
1780608024998,0.076,88
1780608025005,0.067,88
1780608025013,0.067,88
1780608025021,0.057,88
1780608025029,0.041,88
1780608025036,0.041,88
1780608025044,0.048,88
1780608025052,0.048,88
1780608025059,0.051,88
1780608025067,0.055,88
1780608025075,0.055,88
1780608025082,0.055,88
1780608025090,0.106,88
1780608025098,0.301,88
1780608025105,0.633,88
1780608025113,0.844,88
1780608025121,0.603,88
1780608025129,0.039,88
1780608025136,-0.224,88
1780608025144,-0.06,88
1780608025152,0.051,88
1780608025159,0.006,88
1780608025167,0.011,88
1780608025175,0.041,88
1780608025182,0.034,88
1780608025190,0.03,88
1780608025198,0.039,88
1780608025205,0.037,88
1780608025213,0.041,88
1780608025221,0.057,88
1780608025229,0.064,88
1780608025236,0.064,88
1780608025244,0.074,88
1780608025252,0.085,88
1780608025259,0.095,88
1780608025267,0.104,88
1780608025275,0.109,88
1780608025282,0.113,88
1780608025290,0.127,88
1780608025298,0.136,88
1780608025305,0.143,88
1780608025313,0.146,88
1780608025321,0.134,88
1780608025329,0.12,88
1780608025336,0.113,88
1780608025344,0.106,88
1780608025352,0.092,88
1780608025359,0.071,88
1780608025367,0.048,88
1780608025375,0.023,88
1780608025316,-0.004,87
1780608025323,-0.025,87
1780608025331,-0.032,87
1780608025339,-0.041,87
1780608025346,-0.074,87
1780608025354,-0.099,87
1780608025362,-0.069,87
1780608025370,-0.03,87
1780608025377,-0.039,87
1780608025385,-0.048,87
1780608025393,-0.034,87
1780608025400,-0.032,87
1780608025408,-0.032,87
1780608025416,-0.02,87
1780608025423,-0.016,87
1780608025431,-0.023,87
1780608025439,-0.025,87
1780608025446,-0.02,87
1780608025454,-0.018,87
1780608025462,-0.011,87
1780608025470,-0.018,87
1780608025477,-0.044,87
1780608025485,-0.051,87
1780608025493,-0.037,87
1780608025500,-0.03,87
1780608025508,-0.034,87
1780608025516,-0.03,87
1780608025523,-0.023,87
1780608025531,-0.018,87
1780608025539,-0.006,87
1780608025546,0.006,87
1780608025554,-0.002,87
1780608025562,-0.02,87
1780608025570,-0.025,87
1780608025577,-0.013,87
1780608025585,0.002,87
1780608025593,0.004,87
1780608025600,-0.002,87
1780608025608,-0.013,87
1780608025616,-0.023,87
1780608025623,-0.02,87
1780608025631,-0.016,87
1780608025639,-0.011,87
1780608025646,0.002,87
1780608025654,0.02,87
1780608025662,0.025,87
1780608025670,0.018,87
1780608025677,0.016,87
1780608025685,0.011,87
1780608025693,-0.002,87
1780608025700,-0.016,87
1780608025708,-0.02,87
1780608025716,-0.018,87
1780608025723,-0.016,87
1780608025731,-0.016,87
1780608025739,-0.013,87
1780608025746,-0.027,87
1780608025754,-0.034,87
1780608025762,0.009,87
1780608025770,0.171,87
1780608025777,0.487,87
1780608025785,0.749,87
1780608025793,0.598,87
1780608025800,0.057,87
1780608025808,-0.269,87
1780608025816,-0.136,87
1780608025823,-0.006,87
1780608025831,-0.044,87
1780608025839,-0.044,87
1780608025846,-0.013,87
1780608025854,-0.025,87
1780608025862,-0.025,87
1780608025870,-0.006,87
1780608025856,0.0,87
1780608025864,-0.002,87
1780608025871,0.002,87
1780608025879,0.011,87
1780608025887,0.018,87
1780608025895,0.027,87
1780608025902,0.039,87
1780608025910,0.041,87
1780608025918,0.044,87
1780608025925,0.051,87
1780608025933,0.064,87
1780608025941,0.071,87
1780608025948,0.062,87
1780608025956,0.053,87
1780608025964,0.064,87
1780608025971,0.074,87
1780608025979,0.064,87
1780608025987,0.055,87
1780608025995,0.041,87
1780608026002,0.023,87
1780608026010,0.004,87
1780608026018,-0.018,87
1780608026025,-0.041,87
1780608026033,-0.055,87
1780608026041,-0.067,87
1780608026048,-0.078,87
1780608026056,-0.085,87
1780608026064,-0.088,87
1780608026071,-0.085,87
1780608026079,-0.085,87
1780608026087,-0.09,87
1780608026095,-0.088,87
1780608026102,-0.083,87
1780608026110,-0.081,87
1780608026118,-0.078,87
1780608026125,-0.078,87
1780608026133,-0.083,87
1780608026141,-0.064,87
1780608026148,-0.03,87
