Timestamp_Epoch_ms,PPI_ms,HR_BPM
1780607917480,693,83
1780607917480,706,83
1780607918552,664,83
1780607919771,786,84
1780607919771,670,84
1780607920989,629,84
1780607921914,615,86
1780607921914,598,86
1780607922839,603,88
1780607924203,636,89
1780607925422,771,91
1780607926398,858,84
1780607926398,894,84
1780607927565,916,79
1780607928589,856,78
1780607929809,833,77
1780607931074,851,76
1780607932098,848,75
1780607932098,758,75
1780607933169,736,75
1780607934583,745,76
1780607935705,762,77
1780607935705,746,77
1780607937020,811,77
1780607937996,758,77
1780607939262,761,77
1780607939262,757,77
1780607940383,743,77
1780607941602,755,77
1780607942625,770,78
1780607942625,751,78
1780607943893,750,78
1780607944918,754,78
1780607945939,761,78
1780607945939,757,78
1780607947013,733,78
1780607948279,739,79
1780607949158,751,79
1780607949158,787,79
1780607950328,765,79
1780607951449,760,79
1780607952716,790,79
1780607953642,831,78
1780607953642,843,78
1780607954665,790,78
1780607955737,771,77
1780607956616,796,77
1780607957980,804,77
1780607958955,830,76
1780607958955,798,76
1780607960076,807,76
1780607960955,812,76
1780607962123,803,76
1780607962123,789,76
1780607963148,790,76
1780607964075,754,76
1780607965194,726,77
1780607965194,696,77
1780607965194,667,77
1780607966266,489,79
1780607967389,828,80
1780607968167,690,82
1780607969241,757,83
1780607970313,784,83
1780607971434,801,81
1780607971434,806,81
1780607972506,800,78
1780607972506,814,78
1780607972506,636,78
1780607975041,495,77
1780607975041,485,77
